Sentence   BERT   GPT   TFXL
1             3     3   1.66
2          2.33     3      2
3          2.66  2.66   3.66
4          1.66     3   2.66
5          3.33  2.66   3.33
6          3.66  2.66   3.66
7             2  2.66   2.66
8          2.66  2.66   1.33
9             2  2.66   1.66
10         2.33  2.33   1.33
11         2.33  1.66      2
12         2.66     3   2.66
13         2.66  2.66   1.66
14         2.33     1   1.66
15            1  2.66   3.33
16            3  2.33      1
17            1  2.66   3.66
18         3.33  2.66   2.66
19            3     2   3.33
20         2.66     2   1.66
21         2.33  1.66   2.33
22            2  2.66   1.33
23         2.33     3   1.33
24            2     3   1.33
25            1     2   2.66
26            3     3      1
27            2     2   2.66
28         2.33  1.66      3
29         3.66  2.33   2.66
30         3.66     3      3
31            1  2.66   1.66
32         2.66     3      1
33         2.33     3   2.66
34            2  2.66      2
35            1  2.33      1
36         3.66     2   3.33
37         1.33  3.33   3.33
38            2     4   1.66
39         3.33  2.33   2.33
40         2.66  2.66   2.66
41            3  1.66   2.33
42         2.66  2.33      3
43         2.66  2.66   1.33
44            1  2.33   1.33
45         2.66     3   1.33
46            4  2.66   2.66
47            1  1.33   1.33
48            1     2   3.33
49         2.66  2.33   3.33
50            1  3.33   1.66
51            2     2      2
52            3     2   2.66
53            2  2.33      1
54         1.66  2.66   1.33
55         1.33  2.33   2.33
56            1  2.33      2
57         2.66     3   3.33
58         2.33     3   2.66
59         2.33  2.66      2
60            2  2.33      1
61         1.66     2      3
62            1     3   1.66
63         2.33     3   1.66
64            1     3      1
65         1.66  2.66   3.33
66         1.66  2.66   1.33
67         1.33  1.66   1.33
68            3     3   2.33
69            1     2   2.66
70         2.33  2.33      2
71         2.33     3   2.33
72         1.66  2.33   1.66
73         1.33     2   1.33
74         1.66  2.66   1.33
75            1  2.33   1.33
76            1  3.33   2.33
77            1  2.66      3
78            1     2   2.33
79         1.66  1.66   1.33
80         1.33     1      3
81            2     3   2.33
82            2  3.33      1
83         1.33  2.66      1
84         1.33     2   2.66
85            1     3   3.66
86            1  2.33   2.33
87            1  3.66   2.33
88            2  3.33   1.33
89            2  2.66      1
90            2     3   2.66
91            1  2.66   1.66
92            1  2.33   3.66
93         1.33     3   1.66
94         1.66  3.33   2.66
95            1  3.33   2.33
96            1  2.66      3
97         1.33     3   2.66
98         2.33  2.66      3
99         1.66  3.66      3
100           1     2   1.66
